player,total_passes,total_completed,total_uncompleted,total_percentage%,f3_passes,f3_completed,f3_uncompleted,f3_percentage%,short_passes,short_completed,short_uncompleted,short_percentage%,long_passes,long_completed,long_uncompleted,long_percentage%,average_pass_length,crosses,crosses_completed,crosses_uncompleted,crosses_percentage%,total_shot_assists,total_goal_assists,dribbles,dribbles_completed,dribbles_f3,dribbles_f3_completed,fouls_won,team,MP,competition,total_shots,onTarget,offTarget,post,blocked,goals,xG_total,onTarget_percentage%,Shot_to_goal_ratio,Shot_onTarget_to_goal_ratio,xG/shot,recoveries,duels,duels_won,fouls_committed,shot_blocked,clearances,pressure,interceptions,total_goals_against,penalty_goals_against,penalty_saves,non_penalty_goals_against,penalty_onTarget_attempts,penalty_saves_percentage%,shot_onTarget_saved,save%,save_both_hands,save_chest,save_head,save_left_foot,save_left_hand,right_foot,save_right_hand,position,group
Ander Iturraspe Derteano,417,333,84,79.85611510791367,65,37,28,56.92307692307692,216,207,9,95.83333333333334,51,23,28,45.09803921568628,18.379620642241726,6,2,4,33.33333333333333,3,1,5,2,1,0,8,Athletic Club,16,Spain - La Liga,4,1,2,0,1,0,0.110007938,25.0,0.0,0.0,0.0275019845,42,40,20,22,23,17,176,17,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Defensive Midfield,Midfielders
Andreu Fontàs Prat,468,418,50,89.31623931623932,57,38,19,66.66666666666666,316,305,11,96.51898734177216,42,15,27,35.714285714285715,20.274274586673847,0,0,0,0.0,3,0,0,0,0,0,2,Celta Vigo,7,Spain - La Liga,2,1,0,0,1,1,0.31877683,50.0,50.0,100.0,0.159388415,30,23,11,2,10,30,71,17,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Center Back,Defenders
André Filipe Tavares Gomes,1342,1081,261,80.55141579731743,211,138,73,65.40284360189574,901,789,112,87.56936736958934,99,59,40,59.59595959595959,17.213626403933045,21,8,13,38.095238095238095,23,3,113,69,51,25,55,Valencia,30,Spain - La Liga,42,16,9,1,15,3,2.4019777734,38.095238095238095,7.142857142857142,18.75,0.057189946985714286,161,136,25,64,47,15,576,23,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Center Midfield,Midfielders
Andrés Eduardo Fernández Moreno,1136,644,492,56.690140845070424,133,30,103,22.55639097744361,251,248,3,98.80478087649402,784,304,480,38.775510204081634,45.70360547246936,0,0,0,0.0,2,0,2,1,0,0,9,Granada,37,Spain - La Liga,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,211,1,1,1,2,2,6,0,64,4,0,60,4,0.0,100,62.5,64,1,1,6,7,6,15,Goalkeeper,Goalkeepers
Andrés Iniesta Luján,1877,1641,236,87.42674480554075,297,252,45,84.84848484848484,1278,1195,83,93.5054773082942,172,118,54,68.6046511627907,18.267553767012338,25,7,18,28.000000000000004,31,2,80,54,28,14,54,Barcelona,28,Spain - La Liga,23,6,11,1,5,1,1.854386722,26.08695652173913,4.3478260869565215,16.666666666666664,0.08062550965217392,127,63,34,24,30,13,377,12,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Center Midfield,Midfielders
Andrés Pascual Santoja,6,5,1,83.33333333333334,0,0,0,0.0,5,4,1,80.0,0,0,0,0.0,10.412326216199999,0,0,0,0.0,0,0,2,1,0,0,2,Valencia,1,Spain - La Liga,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,4,2,0,0,0,6,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Wing,Forwards
Antoine Griezmann,1394,1093,301,78.40746054519369,150,104,46,69.33333333333334,906,776,130,85.65121412803532,68,44,24,64.70588235294117,14.162523141329096,37,15,22,40.54054054054054,49,5,82,46,37,17,45,Atlético Madrid,38,Spain - La Liga,92,43,27,3,18,22,15.968187153,46.73913043478261,23.91304347826087,51.162790697674424,0.1735672516630435,151,184,36,35,48,31,619,42,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Center Forward,Forwards
Antolín Alcáraz Viveros,262,188,74,71.7557251908397,36,10,26,27.77777777777778,117,111,6,94.87179487179486,50,15,35,30.0,21.969212951511754,3,1,2,33.33333333333333,2,0,2,2,0,0,3,Las Palmas,6,Spain - La Liga,2,1,0,0,1,1,0.37142179,50.0,50.0,100.0,0.185710895,17,33,15,8,12,27,56,16,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Center Back,Defenders
Antonio Adán Garrido,1144,496,648,43.35664335664335,239,52,187,21.75732217573222,157,157,0,100.0,888,256,632,28.82882882882883,50.868717983714895,0,0,0,0.0,2,0,1,1,0,0,3,Real Betis,36,Spain - La Liga,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,164,0,0,1,0,1,6,0,49,0,0,49,0,0.0,125,71.83908045977012,81,4,1,8,8,8,15,Goalkeeper,Goalkeepers
Antonio Amaya Carazo,515,389,126,75.53398058252428,44,15,29,34.090909090909086,267,249,18,93.25842696629213,68,26,42,38.23529411764706,21.138886535950135,1,0,1,0.0,0,0,6,5,0,0,6,Rayo Vallecano,17,Spain - La Liga,3,2,1,0,0,1,0.20450205999999999,66.66666666666666,33.33333333333333,50.0,0.06816735333333333,26,41,8,21,26,60,120,29,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Center Back,Defenders
Antonio Barragán Fernández,1031,800,231,77.59456838021337,116,76,40,65.51724137931035,508,464,44,91.33858267716536,99,33,66,33.33333333333333,18.058323016513743,41,8,33,19.51219512195122,8,0,24,10,9,2,23,Valencia,24,Spain - La Liga,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,70,60,28,41,36,45,258,44,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Back,Defenders
Antonio García Aranda,1356,981,375,72.34513274336283,145,72,73,49.6551724137931,582,507,75,87.11340206185567,172,60,112,34.883720930232556,17.529912968014777,92,20,72,21.73913043478261,21,2,63,35,27,15,46,Levante UD,27,Spain - La Liga,11,3,3,0,3,0,0.2232377714,27.27272727272727,0.0,0.0,0.020294342854545455,136,87,26,53,55,63,299,61,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Back,Defenders
Antonio Jesús Cotán Pérez,50,42,8,84.0,5,2,3,40.0,30,28,2,93.33333333333333,9,5,4,55.55555555555556,23.268398982235198,0,0,0,0.0,1,0,3,2,0,0,2,Sevilla,1,Spain - La Liga,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6,7,2,5,3,0,18,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Defensive Midfield,Midfielders
Antonio José Raillo Arenas,113,86,27,76.10619469026548,10,3,7,30.0,59,57,2,96.61016949152543,12,4,8,33.33333333333333,21.389981752353982,0,0,0,0.0,1,0,0,0,0,0,3,Espanyol,4,Spain - La Liga,4,1,1,0,1,0,0.22443217099999999,25.0,0.0,0.0,0.056108042749999996,10,14,7,3,2,14,28,9,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Center Back,Defenders
Antonio Manuel Luna Rodríguez,524,374,150,71.37404580152672,72,41,31,56.94444444444444,223,190,33,85.20179372197309,64,29,35,45.3125,18.906744708252823,21,6,15,28.57142857142857,4,1,11,8,2,1,8,Eibar,15,Spain - La Liga,2,1,0,0,1,0,0.11135503599999999,50.0,0.0,0.0,0.055677517999999995,41,40,18,8,28,24,145,30,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Back,Defenders
Antonio Rodríguez Martínez,331,242,89,73.1117824773414,27,10,17,37.03703703703704,110,107,3,97.27272727272728,149,68,81,45.63758389261745,37.52988028716834,0,0,0,0.0,0,0,0,0,0,0,3,Rayo Vallecano,10,Spain - La Liga,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,66,0,0,2,0,0,0,0,12,2,1,10,3,33.33333333333333,24,70.58823529411765,17,0,0,0,1,3,3,Goalkeeper,Goalkeepers
Antonio Rukavina,645,501,144,77.67441860465117,59,32,27,54.23728813559322,317,285,32,89.90536277602523,67,24,43,35.82089552238806,17.559027020413506,12,0,12,0.0,3,0,10,5,5,1,7,Villarreal,18,Spain - La Liga,2,0,1,0,1,0,0.052419115,0.0,0.0,0.0,0.0262095575,38,51,14,19,33,39,133,27,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Back,Defenders
António Alberto Bastos Pimparel,121,87,34,71.900826446281,11,3,8,27.27272727272727,38,38,0,100.0,65,31,34,47.69230769230769,41.379910434059504,0,0,0,0.0,0,0,0,0,0,0,2,Sevilla,4,Spain - La Liga,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,14,0,0,0,0,0,0,0,8,1,0,7,1,0.0,13,65.0,11,0,0,0,1,1,0,Goalkeeper,Goalkeepers
Aras Özbiliz,35,20,15,57.14285714285714,4,2,2,50.0,19,17,2,89.47368421052632,7,0,7,0.0,18.880693422397712,4,1,3,25.0,2,1,2,1,2,1,2,Rayo Vallecano,3,Spain - La Liga,1,0,1,0,0,0,0.0523714,0.0,0.0,0.0,0.0523714,1,5,2,3,0,0,23,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Center Attacking Midfield,Midfielders
Arda Turan,624,573,51,91.82692307692307,53,45,8,84.90566037735849,481,459,22,95.42619542619542,19,16,3,84.21052631578947,13.897887521523462,7,4,3,57.14285714285714,6,3,29,22,11,6,21,Barcelona,18,Spain - La Liga,8,3,3,0,1,2,1.193095765,37.5,25.0,66.66666666666666,0.149136970625,66,42,21,23,23,2,180,5,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Center Midfield,Midfielders
Aritz Aduriz Zubeldia,759,476,283,62.71409749670619,113,50,63,44.24778761061947,377,292,85,77.45358090185677,15,5,10,33.33333333333333,13.484222660830671,18,6,12,33.33333333333333,26,6,64,25,47,17,69,Athletic Club,34,Spain - La Liga,96,49,26,5,13,20,18.7169077647,51.041666666666664,20.833333333333336,40.816326530612244,0.194967789215625,82,170,16,63,35,23,313,7,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Center Forward,Forwards
