index,player,recoveries,duels,duels_won,fouls_committed,shot_blocked,clearances,pressure,interceptions,team,MP,competition
308,Kléper Laveran Lima Ferreira,85,61,21,20,44,80,178,42,Real Madrid,21,Spain - La Liga
309,Laureano Sanabria Ruiz,77,75,33,27,44,57,222,42,RC Deportivo La Coruña,23,Spain - La Liga
310,Leandro Damião da Silva dos Santos,4,10,0,5,3,4,26,0,Real Betis,3,Spain - La Liga
311,Leonardo Carrilho Baptistão,45,88,10,23,23,15,280,5,Villarreal,26,Spain - La Liga
312,Lionel Andrés Messi Cuccittini,85,22,9,14,11,0,191,7,Barcelona,33,Spain - La Liga
313,Lucas Alfonso Orbán Alegre,37,47,13,22,15,32,133,20,Levante UD,10,Spain - La Liga
314,Lucas Hernández Pi,21,40,10,10,22,46,98,15,Atlético Madrid,10,Spain - La Liga
315,Lucas Pérez Martínez,105,96,8,36,20,2,550,13,RC Deportivo La Coruña,36,Spain - La Liga
316,Lucas Vázquez Iglesias,62,68,33,20,20,7,292,21,Real Madrid,25,Spain - La Liga
317,Luciano Vietto,39,50,8,13,13,2,206,5,Atlético Madrid,19,Spain - La Liga
318,Luis Alberto Romero Alconchel,104,96,30,14,35,12,379,14,RC Deportivo La Coruña,29,Spain - La Liga
319,Luis Alberto Suárez Díaz,101,61,15,43,25,19,335,9,Barcelona,35,Spain - La Liga
320,Luis Carlos Correia Pinto,41,49,19,24,27,12,197,20,RC Deportivo La Coruña,20,Spain - La Liga
321,Luis Carlos Fariña Olivera,6,1,1,0,0,1,13,3,Rayo Vallecano,3,Spain - La Liga
322,Luis Hernández Rodríguez,135,85,24,25,44,203,204,131,Sporting Gijón,36,Spain - La Liga
323,Luka Modrić,176,74,33,33,30,5,420,63,Real Madrid,32,Spain - La Liga
324,Mamadou Sylla Diallo,10,25,4,16,2,3,84,0,Espanyol,13,Spain - La Liga
325,Manuel Agudo Durán,145,97,37,46,44,10,384,29,Celta Vigo,29,Spain - La Liga
326,Manuel Castellano Castro,15,15,3,16,14,12,55,14,Eibar,10,Spain - La Liga
327,Manuel Fernández Muñíz,28,0,0,0,0,2,0,0,RC Deportivo La Coruña,9,Spain - La Liga
328,Manuel Pablo García Díaz,1,3,0,0,4,4,17,6,RC Deportivo La Coruña,3,Spain - La Liga
