index,player,total_shots,onTarget,offTarget,post,blocked,goals,xG_total,onTarget_percentage%,Shot_to_goal_ratio,Shot_onTarget_to_goal_ratio,xG/shot,team,MP,competition
111,Diego Javier Llorente Ríos,15,6,3,1,4,2,1.1379153775,40.0,13.333333333333334,33.33333333333333,0.07586102516666667,Rayo Vallecano,12,Spain - La Liga
112,Diego Mainz García,1,0,0,0,1,0,0.096879065,0.0,0.0,0.0,0.096879065,Granada,1,Spain - La Liga
113,Diego Roberto Godín Leal,26,5,11,4,4,1,3.036824545,19.230769230769234,3.8461538461538463,20.0,0.11680094403846154,Atlético Madrid,16,Spain - La Liga
114,Dimitri Foulquier,6,1,3,0,2,1,0.9512411620000001,16.666666666666664,16.666666666666664,100.0,0.1585401936666667,Granada,5,Spain - La Liga
115,Diogo José Rosário Gomes Figueiras,2,0,0,0,2,0,0.015886201,0.0,0.0,0.0,0.0079431005,Sevilla,2,Spain - La Liga
116,Duje Čop,49,26,14,0,3,7,8.4229235944,53.06122448979592,14.285714285714285,26.923076923076923,0.17189639988571428,Málaga,26,Spain - La Liga
117,Eddy Silvestre Pascual İsrafilov,2,1,0,0,0,0,0.06747573300000001,50.0,0.0,0.0,0.033737866500000005,Eibar,2,Spain - La Liga
118,Edgar Antonio Méndez Ortega,11,2,5,0,2,1,0.5873136234999999,18.181818181818183,9.090909090909092,50.0,0.053392147590909086,Granada,8,Spain - La Liga
119,Egor Filipenko,8,0,5,0,3,0,0.422316535,0.0,0.0,0.0,0.052789566875,Málaga,5,Spain - La Liga
120,Emiliano Buendía,13,4,8,0,1,1,0.858005202,30.76923076923077,7.6923076923076925,25.0,0.06600040015384614,Getafe,9,Spain - La Liga
121,Emiliano Daniel Velázquez Maldonado,8,4,2,0,2,3,1.017033099,50.0,37.5,75.0,0.127129137375,Getafe,5,Spain - La Liga
122,Eneko Bóveda Altube,5,0,3,0,1,0,0.338055554,0.0,0.0,0.0,0.0676111108,Athletic Club,5,Spain - La Liga
123,Eneko Capilla González,1,1,0,0,0,0,0.039933976,100.0,0.0,0.0,0.039933976,Real Sociedad,1,Spain - La Liga
124,Enrique Sola Clemente,1,0,0,0,1,0,0.07494065,0.0,0.0,0.0,0.07494065,Athletic Club,1,Spain - La Liga
125,Enzo Nicolás Pérez,6,0,3,0,3,0,0.163569556,0.0,0.0,0.0,0.027261592666666667,Valencia,6,Spain - La Liga
126,Enzo Pablo Roco Roco,11,2,5,0,2,2,1.012274369,18.181818181818183,18.181818181818183,100.0,0.09202494263636364,Espanyol,9,Spain - La Liga
127,Eric Bertrand Bailly,4,1,1,0,0,0,0.40905513200000004,25.0,0.0,0.0,0.10226378300000001,Villarreal,4,Spain - La Liga
128,Esteban Félix Granero Molina,6,3,0,0,2,0,0.20335309199999999,50.0,0.0,0.0,0.033892182,Real Sociedad,3,Spain - La Liga
129,Fabián Ariel Orellana Valenzuela,77,24,22,3,27,7,8.8010895798,31.16883116883117,9.090909090909092,29.166666666666668,0.11429986467272726,Celta Vigo,30,Spain - La Liga
130,Fabián Ruiz Peña,5,2,1,0,2,0,0.171965702,40.0,0.0,0.0,0.0343931404,Real Betis,5,Spain - La Liga
131,Fayçal Fajr,45,20,16,1,7,5,2.2816990588,44.44444444444444,11.11111111111111,25.0,0.05070442352888889,RC Deportivo La Coruña,26,Spain - La Liga
132,Federico Julián Fazio,1,1,0,0,0,0,0.054777976,100.0,0.0,0.0,0.054777976,Sevilla,1,Spain - La Liga
