index,player,total_shots,onTarget,offTarget,post,blocked,goals,xG_total,onTarget_percentage%,Shot_to_goal_ratio,Shot_onTarget_to_goal_ratio,xG/shot,team,MP,competition
47,Charlison Benschop,7,5,1,0,0,1,0.630983932,71.42857142857143,14.285714285714285,20.0,0.09014056171428572,Hannover 96,4,Germany - 1. Bundesliga
48,Christian Clemens,43,16,17,4,4,5,3.828590837,37.2093023255814,11.627906976744185,31.25,0.08903699620930233,FSV Mainz 05,22,Germany - 1. Bundesliga
49,Christian Gentner,48,20,12,1,11,5,4.629395909,41.66666666666667,10.416666666666668,25.0,0.09644574810416667,VfB Stuttgart,22,Germany - 1. Bundesliga
50,Christian Pulisic,8,3,3,0,2,2,0.96926095,37.5,25.0,66.66666666666666,0.12115761875,Borussia Dortmund,5,Germany - 1. Bundesliga
51,Christian Schulz,8,4,1,0,2,2,1.0896883803,50.0,25.0,50.0,0.1362110475375,Hannover 96,6,Germany - 1. Bundesliga
52,Christian Träsch,8,1,4,0,2,0,0.17613926900000001,12.5,0.0,0.0,0.022017408625000002,Wolfsburg,8,Germany - 1. Bundesliga
53,Christoph Janker,1,0,0,0,0,0,0.038632255,0.0,0.0,0.0,0.038632255,Augsburg,1,Germany - 1. Bundesliga
54,Christoph Kramer,9,3,0,0,6,0,0.606413493,33.33333333333333,0.0,0.0,0.067379277,Bayer Leverkusen,9,Germany - 1. Bundesliga
55,Christoph Moritz,1,0,1,0,0,0,0.015130061,0.0,0.0,0.0,0.015130061,FSV Mainz 05,1,Germany - 1. Bundesliga
56,Claudio Miguel Pizarro Bossio,46,25,10,0,8,14,10.452750582,54.347826086956516,30.434782608695656,56.00000000000001,0.22723370830434783,Werder Bremen,19,Germany - 1. Bundesliga
57,Cleber Janderson Pereira Reis,14,6,2,1,2,1,1.345973472,42.857142857142854,7.142857142857142,16.666666666666664,0.0961409622857143,Hamburger SV,11,Germany - 1. Bundesliga
58,Clemens Fritz,25,6,8,0,10,1,0.7710752671,24.0,4.0,16.666666666666664,0.030843010684,Werder Bremen,17,Germany - 1. Bundesliga
59,Daniel Baier,18,6,10,0,2,1,0.6900213084,33.33333333333333,5.555555555555555,16.666666666666664,0.03833451713333333,Augsburg,13,Germany - 1. Bundesliga
60,Daniel Brosinski,15,5,6,0,3,1,0.840118676,33.33333333333333,6.666666666666667,20.0,0.05600791173333333,FSV Mainz 05,11,Germany - 1. Bundesliga
61,Daniel Caligiuri,41,19,11,2,9,2,2.6514089430000003,46.34146341463415,4.878048780487805,10.526315789473683,0.06466851080487805,Wolfsburg,23,Germany - 1. Bundesliga
62,Daniel Didavi,93,38,23,2,25,13,11.0773510455,40.86021505376344,13.978494623655912,34.21052631578947,0.11911130156451613,VfB Stuttgart,27,Germany - 1. Bundesliga
63,Daniel Ginczek,18,8,4,0,6,3,3.867141626,44.44444444444444,16.666666666666664,37.5,0.21484120144444444,VfB Stuttgart,7,Germany - 1. Bundesliga
